SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3MINDIA,EQ,523.95,523.95,488.05,490.1,489,499.85,502,250174.95,9-OCT-2004,
AARTIDRUGS,EQ,146,152.95,145.9,148.45,148,145.65,237437,35605615.8,9-OCT-2004,
AARTIIND,EQ,217.8,221.75,209,212.35,212.15,217.15,60343,12917555.3,9-OCT-2004,
ABANLLOYD,EQ,1171.9,1171.9,1151.1,1158.3,1151.1,1148.95,15294,17867254.85,9-OCT-2004,
ABB,EQ,749,749,733.05,743.3,744,736.9,4309,3198725.6,9-OCT-2004,
ABSHEKINDS,EQ,22.4,23.2,22.4,22.95,23.05,22.6,165891,3798855.05,9-OCT-2004,
ABSIND,EQ,106.1,107.5,103,106.1,105,105.8,27432,2904131.85,9-OCT-2004,
ACC,EQ,275,276.8,273,274,274,274.75,185101,50822809.2,9-OCT-2004,
ADANIEXPO,EQ,61,61.4,60.6,61.25,61.4,61.2,374180,22920725.75,9-OCT-2004,
ADLABSFILM,EQ,93.8,95,93.05,94.55,95,92.6,30663,2884980.25,9-OCT-2004,
ADORWELD,EQ,58.8,60.95,57.65,59.2,59.9,58.85,20261,1198339.75,9-OCT-2004,
AEGISCHEM,EQ,34.95,35,34.15,34.55,34.5,34.3,14078,487915.05,9-OCT-2004,
AFTEKINFO,EQ,119,123.25,118.2,122.1,121.65,119.75,314765,38145422.25,9-OCT-2004,
AGEEGOLD,EQ,25,26.8,25,26,26,26.5,900,23080,9-OCT-2004,
AGRODUTCH,BE,35,38,35,37.3,37.5,35.25,34736,1286029.05,9-OCT-2004,
AHMEDELEC,EQ,93.4,95.55,93.4,94.9,95.15,94.7,10332,980952.65,9-OCT-2004,
AHMEDFORGE,EQ,99.3,104.95,98.6,104.95,104.95,99.95,35713,3673474.15,9-OCT-2004,
AJANTPHARM,EQ,55,59.9,54.5,58.6,58.6,54.5,174305,10167939.25,9-OCT-2004,
AKSHOPTFBR,EQ,20.75,22.5,20.75,21.8,21.6,20.5,71885,1564364.1,9-OCT-2004,
ALBK,EQ,48.5,51.25,48.5,51.05,51.1,49.6,1951188,98615503.2,9-OCT-2004,
ALEMBICLTD,EQ,159.6,164.7,157,163.15,162.95,158.9,125242,20367230.95,9-OCT-2004,
ALFALAVAL,EQ,610,615,610,612.45,610,613.45,194,118927,9-OCT-2004,
ALOKTEXT,EQ,60.9,61.75,60.45,61.5,61.4,60.65,396191,24257416.6,9-OCT-2004,
ALPSINDUS,EQ,74.9,76.8,72.15,74.55,73.45,70.4,754138,56241812.35,9-OCT-2004,
AMARAJABAT,EQ,80,81.85,79,80.95,80.5,79.5,12242,987506.75,9-OCT-2004,
AMITSPIN,EQ,5.05,5.4,5.05,5.2,5.3,5.1,7710,40106.5,9-OCT-2004,
AMTEKAUTO,EQ,154.7,154.9,152.5,152.85,152.85,153.4,107063,16423336.1,9-OCT-2004,
AMTREXAPPL,EQ,44,44,41.15,42.05,43.4,41.2,3068,129171,9-OCT-2004,
ANDHRABANK,EQ,52.95,52.95,52.2,52.3,52.25,52.6,305616,16018971.2,9-OCT-2004,
ANDHRSUGAR,EQ,93,96.5,93,94.25,94.5,93.25,112324,10612306,9-OCT-2004,
ANTGRAPHIC,EQ,2.65,2.8,2.55,2.8,2.8,2.65,3914,10533.7,9-OCT-2004,
APARINDS,EQ,67.9,68.05,66,66.45,66.45,68.15,14736,992037,9-OCT-2004,
APCOTEXLAT,EQ,35.6,37,35.6,37,37,35.6,618,22838.3,9-OCT-2004,
APIL,EQ,140.2,141.3,139,139.1,139.2,139.85,14247,1995518.55,9-OCT-2004,
APOLLOHOSP,EQ,214,214.65,210.5,211.4,211.6,212.6,45311,9590578.6,9-OCT-2004,
APOLLOTYRE,EQ,220.7,221.75,218.75,220.15,218.75,219.4,10541,2321378.15,9-OCT-2004,
APPAPER,EQ,106.2,107.9,102.55,103.65,103.5,104.35,11375,1182460.5,9-OCT-2004,
APTECHT,EQ,44,44.7,43.6,44.3,44.3,43.6,578865,25601781.35,9-OCT-2004,
