SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20MICRONS,EQ,39,40.1,37.5,39.85,40.1,38.15,25063,994265.65,17-OCT-2009,
3IINFOTECH,EQ,95,96.5,95,95.9,95.55,94.5,1337173,128246566.1,17-OCT-2009,
3MINDIA,EQ,1790,1790,1712,1775.25,1762,1770,121,213179.7,17-OCT-2009,
AARTIDRUGS,EQ,92.3,95.9,92.3,94.6,94.5,92.25,14470,1365779.25,17-OCT-2009,
AARTIIND,EQ,49.9,51.95,49.9,51.5,51.15,49.85,81690,4203138.85,17-OCT-2009,
AARVEEDEN,EQ,56.2,56.2,56.2,56.2,56.2,53.5,766,43049.2,17-OCT-2009,
ABAN,EQ,1599.4,1607,1576,1586.35,1579.8,1588.1,176283,280512097.15,17-OCT-2009,
ABB,EQ,818.1,819.85,806.15,808.3,809,816,32927,26702200.6,17-OCT-2009,
ABCIL,EQ,78,79.75,76.1,78.6,79.4,77.6,14061,1103391.05,17-OCT-2009,
ABGSHIP,EQ,220,223,219,221.15,220,219.85,22547,4987670.85,17-OCT-2009,
ABHISHEK,EQ,21.6,21.6,19.5,19.85,20,20.55,4675,95101.45,17-OCT-2009,
ABIRLANUVO,EQ,989.1,991.9,975.2,979.9,979.6,978.5,24283,23870433.8,17-OCT-2009,
ABSHEKINDS,EQ,15,15.4,15,15.2,15.3,14.9,37805,575425.2,17-OCT-2009,
ACC,EQ,790,795,784.1,792.75,790.05,783.5,69987,55364425.25,17-OCT-2009,
ACE,EQ,39,40,39,39.3,39.25,39.15,47294,1858888.25,17-OCT-2009,
ACKRUTI,EQ,557,564,550.1,553.2,550.1,556.45,52840,29368895.05,17-OCT-2009,
ADANIENT,EQ,695,700.9,686.05,690.7,689.8,690.75,23589,16371173.45,17-OCT-2009,
ADANIPOWER,EQ,101,101.45,100.65,100.8,100.7,100.3,130851,13201023.95,17-OCT-2009,
ADHUNIK,EQ,114,116.7,113.55,114.9,114,112,429321,49459440.1,17-OCT-2009,
ADLABSFILM,EQ,358,363.6,358,359.3,358.7,360.35,144762,52174695.3,17-OCT-2009,
ADORWELD,EQ,154.8,156,150.55,152.85,152,152.95,7161,1100239.95,17-OCT-2009,
ADSL,EQ,496.5,505,491,494.5,491,488.55,26748,13328171.35,17-OCT-2009,
ADVANIHOTR,BE,60,60,60,60,60,59.95,515,30900,17-OCT-2009,
ADVANTA,EQ,618,618,605,612.1,608,601.9,1695,1037617.45,17-OCT-2009,
AEGISCHEM,EQ,146.45,146.45,143,144.05,144.8,141.65,7370,1062818,17-OCT-2009,
AFL,EQ,52,52.6,51.2,51.55,52.25,51.4,3981,205564.25,17-OCT-2009,
AFTEK,EQ,17.6,17.85,17.05,17.6,17.4,17.05,103809,1828866.5,17-OCT-2009,
AGRODUTCH,EQ,13.7,13.95,13.2,13.65,13.6,13.7,17845,242916.45,17-OCT-2009,
AHMEDFORGE,EQ,70.8,71.4,67.3,70.85,70.55,70.8,9245,649850.25,17-OCT-2009,
AIAENG,EQ,346.85,356,340.3,351.6,352,343.45,24778,8695445.5,17-OCT-2009,
AICHAMP,EQ,25.9,25.9,25.9,25.9,25.9,25.55,18,466.2,17-OCT-2009,
AJANTPHARM,EQ,94,95.95,91.7,93,92.85,92.75,1825,170577.9,17-OCT-2009,
AJMERA,EQ,200,203,195.5,200.85,201,197.9,11273,2268972.9,17-OCT-2009,
AKSHOPTFBR,BE,24.5,24.7,23.7,24.7,24.7,23.5,31235,769063.8,17-OCT-2009,
ALBK,EQ,128.7,132.45,126.1,127.9,127.35,127.2,281135,35951978.15,17-OCT-2009,
ALCHEM,EQ,127.9,132,122.95,124.85,124,125.4,81405,10313568.25,17-OCT-2009,
ALEMBICLTD,EQ,48.5,48.5,47.1,47.75,47.95,46.7,89851,4286128.55,17-OCT-2009,
ALFALAVAL,EQ,1290,1297,1242.2,1253.6,1250.05,1276.2,1463,1839425,17-OCT-2009,
ALKALI,EQ,201.5,202.75,201,201.8,201.75,199.3,47273,9541716.05,17-OCT-2009,
ALKYLAMINE,EQ,66,66,66,66,66,63.65,100,6600,17-OCT-2009,
ALLCARGO,EQ,855,974.95,822.2,843.65,844,821.5,2216,1865261.8,17-OCT-2009,
ALLSEC,BE,40.8,40.8,39,39.35,39.05,39,700,27590.5,17-OCT-2009,
ALMONDZ,EQ,44.4,46.35,44.4,46.2,46.35,46.85,963,44330.9,17-OCT-2009,
ALOKTEXT,EQ,22.2,22.2,21.75,21.9,21.9,21.7,955374,20895885.95,17-OCT-2009,
ALPA,BE,13.85,13.85,13.55,13.8,13.6,13.15,3185,43989.5,17-OCT-2009,
ALPHAGEO,BE,235,235,231,232.1,232,234.45,2462,573361.75,17-OCT-2009,
ALPSINDUS,EQ,11.8,11.85,11.45,11.7,11.8,11.35,35000,408582.6,17-OCT-2009,
