SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
KPIT,EQ,240.65,246,240.25,241.75,241,241.9,82607,20040304,25-OCT-2003,
KRBL,EQ,43.8,45,43.25,44.5,44.5,43.15,44500,1950775,25-OCT-2003,
KSBPUMPS,EQ,94.7,94.7,91.25,93.15,92.5,91.55,2875,267278.75,25-OCT-2003,
KTKBANK,EQ,82.6,83,82,82.55,82.6,81.5,50712,4188272.7,25-OCT-2003,
L&T,EQ,395.9,403,395.9,396.9,397,391.15,205026,81517271.6,25-OCT-2003,
LAKME,EQ,221,231.45,221,228.6,228,221.75,3941,895812.35,25-OCT-2003,
LAKSHAUTO,EQ,121.85,123,117,120.75,122,116.7,5566,670694.6,25-OCT-2003,
LAKSHVILAS,EQ,98,98,93.15,94.5,94.85,92.2,7759,733531.2,25-OCT-2003,
LAXMIMACH,EQ,3365,3419,3361,3400,3400,3366.25,49,164790,25-OCT-2003,
LCCINFOTEC,BE,2.35,2.35,2.35,2.35,2.35,2.5,200,470,25-OCT-2003,
LEADEDSYS,EQ,13.2,15.5,13.2,14.55,14.7,14.15,15600,232836,25-OCT-2003,
LGBROS,EQ,336,340.15,336,340.1,340.15,323.95,9973,3389417.5,25-OCT-2003,
LIBERTSHOE,EQ,67.2,68.75,67,67.55,67,67.45,526,35519.6,25-OCT-2003,
LICHSGFIN,EQ,173,174.1,170,171.5,171,171.3,34061,5861679.95,25-OCT-2003,
LIQUIDBEES,EQ,999.95,1000,999.95,999.99,1000,1000,1816,1815983.8,25-OCT-2003,
LLOYDFIN,BE,0.7,0.75,0.7,0.75,0.75,0.7,10500,7865,25-OCT-2003,
LLOYDSTEEL,EQ,5.15,5.15,4.95,5,4.95,5.05,210509,1056544.4,25-OCT-2003,
LML,EQ,57.9,59.6,57.9,58.95,59.15,57.5,209787,12353343.2,25-OCT-2003,
LUMAXIND,EQ,40.65,45.5,39.55,41.25,41.85,44.7,14074,576381.15,25-OCT-2003,
LUPIN,BE,530,530,517.05,521.9,520,528.75,6538,3422255.95,25-OCT-2003,
LYKALABS,EQ,29,30,29,29.75,29.95,28.2,12069,356935.65,25-OCT-2003,
M&M,EQ,310,314.4,306.05,312.55,312.35,304.65,818252,255112204.65,25-OCT-2003,
MAARSOFTW,EQ,11.9,11.9,10.7,11.3,11.4,11.2,4000,44622.75,25-OCT-2003,
MACMILLAN,EQ,230,230,225,226.7,225.05,225.95,2544,577782.25,25-OCT-2003,
MADRASCEM,EQ,6121,6300,6101,6266.5,6300,6042.2,243,1517044,25-OCT-2003,
MADRASFERT,EQ,19.4,19.5,18.7,19.3,19.2,19,30233,583065.6,25-OCT-2003,
