SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
GOLDBEES,EQ,1800,1829.5,1785,1800.6,1794,1795.7,482410,873916640.35,16-MAY-2010,
GOLDSHARE,EQ,1823.55,1823.55,1771.9,1797.7,1798,1768.05,77062,139109416.75,16-MAY-2010,
KOTAKGOLD,EQ,1810,1815,1785,1793.6,1796,1789,79681,143517735.5,16-MAY-2010,
QGOLDHALF,EQ,892,937.9,725.3,885.55,840,890.5,194925,176845525.35,16-MAY-2010,
RELGOLD,EQ,1797.95,1797.95,1736.5,1749,1738,1753.05,148002,262302600.05,16-MAY-2010,
RELIGAREGO,EQ,1845,1870,1812,1830.2,1812,1840.3,19922,36859948.1,16-MAY-2010,
SBIGETS,EQ,1860,1880,1825,1837.1,1837,1820.9,49238,91344617.25,16-MAY-2010,
