SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
RANASUG,EQ,27.65,28,27,27.2,27,26.8,46552,1275874.5,25-JUN-2006,
RANBAXY,EQ,390,395.35,385.55,391.15,391.5,385.55,309696,121398523.85,25-JUN-2006,
RANEBRAKE,EQ,209.45,209.45,179.5,194.4,194,194,272,54131.5,25-JUN-2006,
RANEHOLDIN,EQ,166.9,166.9,166.9,166.9,166.9,159.5,1,166.9,25-JUN-2006,
RATNAMANI,EQ,359,364,347,353.65,364,347.95,99,35010,25-JUN-2006,
RAYMOND,EQ,410,413.4,405,409.75,410.95,409.65,2212,905556.95,25-JUN-2006,
RCAPVL,EQ,25.6,25.8,25.2,25.5,25.3,25.25,453114,11568135.15,25-JUN-2006,
RCF,EQ,38.7,38.8,37.9,38.8,38.8,36.95,119463,4623635.75,25-JUN-2006,
RCVL,EQ,254.8,258.4,250.3,252.55,250.6,252.1,382648,97096390.25,25-JUN-2006,
REIAGRO,EQ,118.1,128.7,117.5,127.9,128.7,117,802684,101739666.45,25-JUN-2006,
REL,EQ,473,473,459,462,460.1,465,25560,11873012.65,25-JUN-2006,
RELCAPITAL,EQ,518,527,516.05,522.15,518,515.2,640521,335088590.3,25-JUN-2006,
RELIANCE,EQ,1010,1024,1002.1,1007.2,1004,1011.9,835543,842881018.8,25-JUN-2006,
RENUKA,EQ,895,895,863,872.05,872.05,881.9,2567,2254674.25,25-JUN-2006,
RENVL,EQ,35,35,33.6,33.85,33.6,33.8,102662,3489689.15,25-JUN-2006,
REPRO,EQ,108,108.4,106,107,107.7,103.75,1500,160649,25-JUN-2006,
REVATHI,EQ,750,750,715,722.65,721,721.85,844,613265.3,25-JUN-2006,
REVL,EQ,420,420,420,420,420,409,1,420,25-JUN-2006,
RICOAUTO,EQ,78,78,76.5,76.9,76.7,76.15,11967,921149.75,25-JUN-2006,
RIIL,EQ,519,523.3,519,523.3,523.3,498.35,5843,3042591.9,25-JUN-2006,
RKFORGE,EQ,92.5,98,91.9,93.2,93.3,95.25,19046,1792827.1,25-JUN-2006,
RML,EQ,108,108,108,108,108,108.5,351,37908,25-JUN-2006,
RNRL,EQ,20.55,20.8,20.25,20.4,20.5,20.15,865043,17632831.4,25-JUN-2006,
ROHITFERRO,EQ,58.3,58.4,57.5,57.8,57.5,55.6,33197,1926605.05,25-JUN-2006,
ROHLTD,EQ,139,142,137,138.8,137.2,139.2,4016,559987.6,25-JUN-2006,
ROLTA,EQ,153,155.9,151,153.05,152,152.05,107957,16582624,25-JUN-2006,
RPGCABLES,EQ,27.65,29.05,27.65,28.95,29,27.65,193,5588.65,25-JUN-2006,
RPL,EQ,64.5,65,64.15,64.35,64.15,64.55,318531,20522459.35,25-JUN-2006,
RSSOFTWARE,EQ,57.25,62.9,57.25,62.05,61.05,60.25,2307,143173.25,25-JUN-2006,
RSYSTEMS,EQ,165,181,161,177.45,175,160.2,99113,17269479.9,25-JUN-2006,
RUCHINFRA,EQ,21,21.8,21,21.55,21.3,21.55,4705,101155,25-JUN-2006,
RUCHISOYA,EQ,277.1,277.1,277,277.05,277,283.9,50,13852,25-JUN-2006,
SABERORGAN,EQ,14.15,14.25,13.45,14.05,14.05,13.65,611,8659.45,25-JUN-2006,
SADBHAV,EQ,323.75,323.8,316.05,323.15,323.8,308.35,34958,11286656.9,25-JUN-2006,
SAELTD,EQ,113.5,113.5,106,109.95,110,108.8,279,30689.85,25-JUN-2006,
SAHPETRO,EQ,15.25,15.25,15,15.05,15.05,14.75,1125,17005,25-JUN-2006,
SAIL,EQ,81,87.4,80,81.8,80.7,79.4,4561414,374858559.5,25-JUN-2006,
SAKHTISUG,EQ,183.95,183.95,175,177.15,176,178.3,35141,6238964.5,25-JUN-2006,
SAKSOFT,EQ,88,88,88,88,88,90.65,5,440,25-JUN-2006,
SAKUMA,EQ,21.5,22,21.5,21.95,22,21.65,1949,42658.05,25-JUN-2006,
SALORAINTL,EQ,94.5,94.5,90.5,91.25,91.85,92.8,665,60943.7,25-JUN-2006,
SALSTEEL,EQ,15.75,15.75,15.25,15.4,15.3,15.9,46103,709863.15,25-JUN-2006,
SAMTEL,EQ,38,38,35.2,37.1,37.35,35.85,8862,325836.15,25-JUN-2006,
SANGAMIND,EQ,70,71,68.7,69.2,69,69.8,1135,78700,25-JUN-2006,
SANGHIIND,EQ,55.65,55.65,55.65,55.65,55.65,53,575,31998.75,25-JUN-2006,
SANGHIPOLY,EQ,11,11.4,10.5,11.4,11.4,9.5,139104,1565756.65,25-JUN-2006,
SANWARIA,EQ,77,77,76.9,77,77,74.2,120,9238,25-JUN-2006,
SAREGAMA,EQ,186.05,187,182.5,186.6,187,186.25,137,25546,25-JUN-2006,
SASKEN,EQ,348,350,307,308.95,307,311.3,914,284461.75,25-JUN-2006,
SATNAMOVER,EQ,74.3,75.8,73.1,74.7,74.8,73.1,48776,3627719.35,25-JUN-2006,
SATYAMCOMP,EQ,712,712,700.25,705.95,703.9,703.95,297282,210233405.2,25-JUN-2006,
SAVITACHEM,EQ,448.7,448.7,448.7,448.7,448.7,422.55,1,448.7,25-JUN-2006,
SB&TINTL,EQ,47,48,46,47.9,47,46.45,4583,218986.95,25-JUN-2006,
SBIN,EQ,770.1,770.1,750,754.1,750.15,762.65,241011,182393987.1,25-JUN-2006,
SCANDENT,EQ,111.5,113,111.45,112.3,112.05,110.8,7892,885741.3,25-JUN-2006,
SCHENHERD,EQ,32,32,31.1,31.8,31.1,32.4,130,4134,25-JUN-2006,
SCI,EQ,141,141.7,136.1,138.4,138.5,141.55,39295,5483458.8,25-JUN-2006,
SEAMECLTD,EQ,147.45,147.45,138.5,140.5,140.2,145.05,122204,17214073.65,25-JUN-2006,
SEARLEIND,EQ,120.7,123,119.35,119.8,121,120.7,569,68283.15,25-JUN-2006,
SESAGOA,EQ,1140,1183.9,1134.05,1140.2,1134.05,1134.75,45185,51903578.9,25-JUN-2006,
SESHAPAPER,EQ,110,110,110,110,110,107.8,10,1100,25-JUN-2006,
SGL,EQ,30.7,31.5,30.3,30.65,30.3,30.65,4570,140151.25,25-JUN-2006,
SHAHALLOYS,EQ,140,145,140,142.55,143,142.25,7151,1019655,25-JUN-2006,
SHANTIGEAR,EQ,68.7,68.7,66,66.65,66.9,66.6,2636,175687.45,25-JUN-2006,
SHASUNCHEM,EQ,74,75.95,73.25,74.95,75,74.55,2016,150623.9,25-JUN-2006,
SHIV-VANI,BE,208.5,208.5,206,206,206,210.95,655,135523.75,25-JUN-2006,
SHOPERSTOP,EQ,495,513.5,480,509.7,510,494.5,378,191829.9,25-JUN-2006,
SHREECEM,EQ,842,850,825,836.6,850,848.2,818,691506.4,25-JUN-2006,
SHREERAMA,EQ,5.6,5.6,5.6,5.6,5.6,5.85,5000,28000,25-JUN-2006,
