SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
IOL,EQ,43.45,45.95,42.65,45.25,45.9,43.5,48999,2162602.2,15-NOV-2003,
IPCALAB,EQ,500,504.9,499.25,502.55,501.5,501.15,6150,3086585.25,15-NOV-2003,
IPCL,EQ,194,201.75,191.05,197.9,200,194.9,309719,60415271.75,15-NOV-2003,
IPITATASPO,EQ,90.5,95.8,89.4,93.8,95.8,89.7,64364,5975671,15-NOV-2003,
IT&T,EQ,12.5,12.75,12.5,12.65,12.55,12.25,2250,28340,15-NOV-2003,
ITC,EQ,855,864,852,860.05,860,855,28592,24530320.4,15-NOV-2003,
ITCHOTEL,EQ,112.65,112.65,94.2,104.65,105.05,104.6,38600,4013365.55,15-NOV-2003,
ITI,EQ,16.85,17.3,16.6,17,17,16.65,19118,324272.9,15-NOV-2003,
IVC,EQ,30.5,30.55,30.5,30.55,30.55,30.35,45,1374.25,15-NOV-2003,
IVP,EQ,29.9,30,29.9,29.95,30,29,900,26975,15-NOV-2003,
IVRCLINFRA,EQ,101.5,110.2,101.1,110.2,110.2,100.15,338824,36213862.95,15-NOV-2003,
J&KBANK,EQ,251,259.8,251,254.5,254,252.3,31286,7976323.75,15-NOV-2003,
JAGSNPHARM,EQ,122.95,123,117.5,120.4,122,116.8,1000,120390.45,15-NOV-2003,
JAICORPLTD,EQ,79,79,78,78,78,78.5,105,8290,15-NOV-2003,
JAINSTUDIO,EQ,10.5,11.1,10.5,11.05,11.1,10.8,1780,19542,15-NOV-2003,
JAYAGROGN,EQ,44.5,47,44.5,46.5,46.95,45.9,340,15545,15-NOV-2003,
JAYBARMARU,EQ,65,67,62,66.85,67,63.45,2680,176056.5,15-NOV-2003,
JAYSREETEA,EQ,42.95,43.05,42.05,43,43,42.85,986,42392.25,15-NOV-2003,
JBCHEPHARM,EQ,289,298.2,288.75,294.55,295.5,288.95,11537,3387833.9,15-NOV-2003,
JCTELEC,BE,3.45,3.9,3.4,3.55,3.9,3.45,4208,15022.6,15-NOV-2003,
JENSONICOL,BE,5.25,5.25,5.25,5.25,5.25,5,1150,6037.5,15-NOV-2003,
JIKINDS,EQ,14.55,14.55,13.3,13.5,13.5,13.85,1350,18330,15-NOV-2003,
JINDALFOTO,EQ,48,49.9,47.4,49.4,49.9,47.7,31458,1537458.9,15-NOV-2003,
JINDALIRON,EQ,203.5,225.7,203.5,224.2,225.7,205.15,2529803,551734958.15,15-NOV-2003,
JINDALPOLY,EQ,348,361,347,355.95,355.05,349.4,22156,7869302.95,15-NOV-2003,
JINDALSTEL,EQ,823,827.95,805,815.1,827.95,819.85,18433,14988099.8,15-NOV-2003,
