SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SAITELE,EQ,1.85,2.05,1.85,2.05,2.05,1.9,1844,3599.65,22-MAR-2003,
SAKHTISUG,EQ,5.35,5.35,5.25,5.3,5.25,5.6,1500,8000,22-MAR-2003,
SALORAINTL,EQ,37.55,38,36.75,37.05,37.25,37.35,10655,401282.35,22-MAR-2003,
SAMTEL,EQ,20.65,21.8,20.65,21.25,21,20.85,3758,79538.2,22-MAR-2003,
SANDESH,EQ,99.95,100,95.55,97.75,99.95,96,30120,2944275,22-MAR-2003,
SAREGAMA,EQ,51.95,51.95,48.8,49.35,48.8,49.55,4714,234139.55,22-MAR-2003,
SATNAMOVER,EQ,15.5,18.95,15.5,18.5,18.5,18.5,380,6610.45,22-MAR-2003,
SATYAMCOMP,EQ,211.9,211.95,208.15,210.3,211.2,205.4,7853284,1648687994.25,22-MAR-2003,
SAVITACHEM,EQ,50.1,50.2,50.1,50.2,50.2,50.1,150,7525,22-MAR-2003,
SAWPIPES,EQ,69.5,69.85,68.35,69.1,69.45,68,79923,5516037.55,22-MAR-2003,
SB&TINTL,EQ,32,32.7,30.25,32.4,32.5,30.6,96911,3107659.7,22-MAR-2003,
SBIN,EQ,285.5,288,283.65,284.65,285.45,284.55,604962,172951380,22-MAR-2003,
SCI,EQ,57.5,57.9,57.15,57.3,57.15,57,219754,12615947.75,22-MAR-2003,
SEAMECLTD,EQ,20.3,24.35,20.3,23.85,23.5,23.8,5584,133187.65,22-MAR-2003,
SEARCHEMIN,EQ,9.75,9.75,9.75,9.75,9.75,9.5,100,975,22-MAR-2003,
SEARLEIND,EQ,22.65,23.5,22.65,23.35,23.45,23.3,620,14375,22-MAR-2003,
SESAGOA,EQ,65,67.7,60.3,66.7,66.6,66.75,10950,713102,22-MAR-2003,
SESHAPAPER,EQ,30.5,32.45,29.8,30.15,32.45,30.3,3635,109676.9,22-MAR-2003,
SHAKTIGAS,EQ,1.1,1.2,1.1,1.2,1.2,1.2,1200,1380,22-MAR-2003,
SHANTIGEAR,EQ,75,75,75,75,75,75,100,7500,22-MAR-2003,
SHASUNCHEM,EQ,81.6,84.75,81.6,84.15,84.75,79.05,3367,279589.65,22-MAR-2003,
SHREECEM,EQ,47.6,47.6,46.1,46.25,46.15,46.6,2825,130724.4,22-MAR-2003,
SHREERAMA,EQ,5.5,5.95,5.3,5.45,5.45,5.55,110196,590556.25,22-MAR-2003,
SHRENUJ,EQ,26.5,28.9,26.5,28.7,28.7,26.7,320,8992.5,22-MAR-2003,
SHRMHONDA,EQ,123.05,127.5,123.05,125.25,127.5,125.3,1000,125275,22-MAR-2003,
SHYAMTELE,EQ,33,35,33,34.4,35,32.4,67146,2286802.6,22-MAR-2003,
SICAL,EQ,6.65,6.65,6.6,6.6,6.6,6.55,214,1422.4,22-MAR-2003,
SIEMENS,EQ,293.4,293.4,285.3,287.7,285.35,288.25,3694,1068281.15,22-MAR-2003,
SILTAPCHEM,EQ,39.8,40.75,39.8,40.3,40.5,40.2,1191,47905.7,22-MAR-2003,
SILVERLINE,EQ,9.75,9.75,9.35,9.45,9.55,9.25,1436461,13604521.5,22-MAR-2003,
SINTEX,EQ,31,31,31,31,31,31.55,41,1271,22-MAR-2003,
SIRPAPER,EQ,31,31.5,31,31.5,31.5,31.9,102,3163,22-MAR-2003,
SIVIND,EQ,2.25,2.4,2.2,2.2,2.2,2.3,14200,31540,22-MAR-2003,
SKFBEARING,EQ,43.75,44.5,43.75,44.25,44,43.35,18309,808442.95,22-MAR-2003,
SKUMARSYNF,EQ,3.6,3.9,3.45,3.45,3.8,3.7,4102,14753.9,22-MAR-2003,
SMITKLBECH,EQ,220.05,227.6,220.05,223.15,223,224.7,3867,861503.35,22-MAR-2003,
SNOWCEMIND,EQ,15.55,15.75,15.5,15.6,15.75,15.6,2045,31932.8,22-MAR-2003,
SOFFIASOFT,EQ,15,15,14.2,14.4,14.7,14.25,1025,14735,22-MAR-2003,
SOFTPRO,EQ,9,9,9,9,9,8.85,100,900,22-MAR-2003,
SOFTSOLINT,EQ,75,75.05,72.15,73.7,74.5,71,94599,6933787.55,22-MAR-2003,
