SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BANKINDIA,EQ,308.7,313.8,308,311.2,311,305.05,1372484,426336931.25,28-SEP-2012,24270,INE084A01016,
BANSWRAS,EQ,70,70,67.65,68.5,68,67.55,1172,80173.2,28-SEP-2012,111,INE629D01012,
BARTRONICS,EQ,24.1,25.85,24.05,25.3,25.25,24.05,202406,5120839.85,28-SEP-2012,1854,INE855F01034,
BASF,EQ,648.05,660,644.5,651.95,658,648.55,10835,7042580.15,28-SEP-2012,732,INE373A01013,
BASML,BE,82.8,88,82.8,87.55,87.55,85.25,40197,3517145.55,28-SEP-2012,17,INE186H01014,
BATAINDIA,EQ,949.05,986,944.3,977.3,977.5,944.55,549437,533810208.4,28-SEP-2012,18428,INE176A01010,
BAYERCROP,EQ,1022.45,1099.9,1015.5,1067.4,1083,1017.9,52511,54814580.55,28-SEP-2012,1913,INE462A01022,
BBL,EQ,595.1,596.95,580.05,584.5,580.1,584.95,5470,3216048.35,28-SEP-2012,776,INE464A01028,
BBTC,EQ,539.95,551.6,536.25,545.95,550,534.7,9099,4953341,28-SEP-2012,544,INE050A01017,
BECREL,BE,5.8,5.8,5.8,5.8,5.8,5.8,202,1171.6,28-SEP-2012,3,INE287A01015,
BEDMUTHA,EQ,12.45,12.75,12.45,12.65,12.75,12.4,35974,452779.35,28-SEP-2012,166,INE844K01012,
BEL,EQ,1208,1218,1111,1208.55,1206,1187.05,60621,73239505.15,28-SEP-2012,1316,INE263A01016,
BEML,EQ,307.8,315,307,308.3,307.5,305,109461,33984271.3,28-SEP-2012,3627,INE258A01016,
BEPL,EQ,17.65,18,17,17.2,17.2,17.85,151786,2610740.35,28-SEP-2012,36,INE922A01025,
BERGEPAINT,EQ,154.5,156.5,146,147.15,147.45,150.35,1378323,209761926.3,28-SEP-2012,12870,INE463A01020,
BFINVEST,EQ,44.05,44.5,44,44.1,44,44,3036,134184.2,28-SEP-2012,54,INE878K01010,
BFUTILITIE,EQ,407.7,411.9,400,402.3,404.4,400.55,279778,113641729.65,28-SEP-2012,8298,INE243D01012,
BGLOBAL,EQ,7.4,8.3,7.1,7.5,7.4,7.6,50695,388683.8,28-SEP-2012,161,INE224M01013,
