SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
GTCIND,EQ,15.7,16.95,15.7,16.95,16.95,15.4,28538,473006.65,17-APR-2004,
GTNTEXT,EQ,38.25,40.1,38.25,39.85,40,38.95,1662,65794.65,17-APR-2004,
GUJALKALI,EQ,49.45,50.9,48,50.1,50.1,48,57576,2860420.5,17-APR-2004,
GUJAMBCEM,EQ,334.9,334.9,326.05,327.55,327,330.4,315878,103695044.95,17-APR-2004,
GUJFLUORO,EQ,158,158,154,154.4,154,155.05,1120,173240.05,17-APR-2004,
GUJRATGAS,EQ,518,518.5,506,510.35,508.1,511,846,435875.5,17-APR-2004,
GUJSIDHCEM,EQ,6.1,6.45,6,6.35,6.35,6.05,120097,749251.3,17-APR-2004,
HARRMALAYA,EQ,33.65,33.65,30.7,31.8,32.2,33.2,7699,247453.1,17-APR-2004,
HARYANSHET,EQ,6.45,6.45,6.45,6.45,6.45,5.45,500,3225,17-APR-2004,
HAVELLS,EQ,122.25,124,121.5,122.3,122.95,122.4,9578,1176978.05,17-APR-2004,
HCL-INSYS,EQ,731,734.7,720.5,723.9,723.6,728.15,9315,6778542.8,17-APR-2004,
HCLTECH,EQ,299,299,292,293.45,292.55,297.65,84457,24893377.45,17-APR-2004,
HDFC,EQ,645,649,635.05,636.65,637.5,638.15,22980,14657877.7,17-APR-2004,
HDFCBANK,EQ,382,389.85,375.2,376.65,376.65,378.5,71999,27413344.4,17-APR-2004,
HEG,EQ,93,95.2,93,94.8,95.15,93.45,7230,683622.95,17-APR-2004,
HERDILCHEM,EQ,35.4,36.1,34,36.1,36.1,35.85,1410,49266,17-APR-2004,
HERITGFOOD,EQ,82.25,85,82.25,84.35,84.95,82.8,3509,293525.85,17-APR-2004,
HEROHONDA,EQ,499,499,493.5,494.95,496.5,497.8,101817,50433963.6,17-APR-2004,
HEXAWARE,EQ,404,404.95,389.05,391.95,393.1,401.65,57633,22732448.15,17-APR-2004,
HIKAL,EQ,336,336,336,336,336,340.4,25,8400,17-APR-2004,
HIMACHLFUT,EQ,12.4,12.5,12.25,12.3,12.35,12.45,1255090,15498140.9,17-APR-2004,
